YawRotation,Timestamp
-56.668522,2024.10.22-21.08.57
-60.276894,2024.10.22-21.08.57
-65.069931,2024.10.22-21.08.57
-70.405205,2024.10.22-21.08.57
-75.395737,2024.10.22-21.08.58
-80.406487,2024.10.22-21.08.58
-86.238625,2024.10.22-21.08.58
-92.752113,2024.10.22-21.08.58
-99.011826,2024.10.22-21.08.58
-104.949265,2024.10.22-21.08.58
-111.669456,2024.10.22-21.08.58
-118.935524,2024.10.22-21.08.58
-126.751160,2024.10.22-21.08.58
-133.564377,2024.10.22-21.08.58
-139.665237,2024.10.22-21.08.58
-145.156998,2024.10.22-21.08.58
-149.500198,2024.10.22-21.08.58
-153.514496,2024.10.22-21.08.58
-158.000275,2024.10.22-21.08.58
-163.061111,2024.10.22-21.08.58
-167.797028,2024.10.22-21.08.58
-172.212189,2024.10.22-21.08.58
-176.042068,2024.10.22-21.08.58
-179.192123,2024.10.22-21.08.58
178.098709,2024.10.22-21.08.58
175.809814,2024.10.22-21.08.58
173.480072,2024.10.22-21.08.58
172.232712,2024.10.22-21.08.58
171.649063,2024.10.22-21.08.58
171.292221,2024.10.22-21.08.58
171.056335,2024.10.22-21.08.58
171.427231,2024.10.22-21.08.58
171.913177,2024.10.22-21.08.58
172.397018,2024.10.22-21.08.58
172.822998,2024.10.22-21.08.58
173.582138,2024.10.22-21.08.58
174.567139,2024.10.22-21.08.58
175.754196,2024.10.22-21.08.58
176.997177,2024.10.22-21.08.58
178.001587,2024.10.22-21.08.58
179.159164,2024.10.22-21.08.58
-179.916916,2024.10.22-21.08.58
-179.444336,2024.10.22-21.08.58
179.757675,2024.10.22-21.08.58
179.017685,2024.10.22-21.08.58
178.203705,2024.10.22-21.08.58
176.669144,2024.10.22-21.08.58
175.051895,2024.10.22-21.08.58
172.841461,2024.10.22-21.08.58
169.859070,2024.10.22-21.08.59
166.444382,2024.10.22-21.08.59
162.626678,2024.10.22-21.08.59
158.727966,2024.10.22-21.08.59
155.079880,2024.10.22-21.08.59
151.697495,2024.10.22-21.08.59
148.875900,2024.10.22-21.08.59
146.688766,2024.10.22-21.08.59
144.630661,2024.10.22-21.08.59
143.012085,2024.10.22-21.08.59
140.946335,2024.10.22-21.08.59
138.461105,2024.10.22-21.08.59
134.474915,2024.10.22-21.08.59
130.943466,2024.10.22-21.08.59
127.700951,2024.10.22-21.08.59
123.739754,2024.10.22-21.08.59
120.195747,2024.10.22-21.08.59
117.116348,2024.10.22-21.08.59
114.413979,2024.10.22-21.08.59
112.021614,2024.10.22-21.08.59
109.553078,2024.10.22-21.08.59
107.527573,2024.10.22-21.08.59
106.369553,2024.10.22-21.08.59
105.396339,2024.10.22-21.08.59
104.747505,2024.10.22-21.08.59
104.549095,2024.10.22-21.08.59
103.937317,2024.10.22-21.08.59
103.100655,2024.10.22-21.08.59
102.320023,2024.10.22-21.08.59
101.779694,2024.10.22-21.08.59
101.704697,2024.10.22-21.08.59
99.253220,2024.10.22-21.08.59
95.779724,2024.10.22-21.08.59
92.983147,2024.10.22-21.08.59
