YawRotation,PitchRotation,RollRotation,ElapsedTimeSeconds
21.000248,-7.990877,-18.283182,11.900000
20.790237,-8.092381,-18.277325,11.922000
20.525187,-8.213036,-18.161669,11.944000
20.134672,-8.365035,-17.824326,11.966000
19.660618,-8.514670,-17.309044,11.988000
19.075191,-8.627669,-16.815676,12.012000
18.459654,-8.750640,-16.319141,12.032000
17.672569,-8.776259,-15.847889,12.056000
16.813694,-8.711926,-15.374009,12.077000
15.996005,-8.810138,-14.988217,12.100000
15.434707,-9.082341,-14.521043,12.123000
14.964104,-9.472652,-13.983222,12.144000
14.246261,-9.882463,-13.277461,12.167000
13.155405,-10.402159,-12.488674,12.189000
11.731499,-10.938069,-11.728854,12.211000
9.841997,-11.371868,-10.949763,12.234000
7.460949,-11.667705,-10.179548,12.256000
4.735062,-11.731689,-9.418097,12.278000
1.586311,-11.759092,-8.808794,12.301000
-1.098494,-12.744087,-8.684703,12.322000
-3.664403,-12.891633,-8.267755,12.344000
-5.741055,-13.032703,-8.204996,12.366000
-7.457593,-13.369521,-7.990098,12.388000
-8.871576,-13.556442,-7.644756,12.411000
-10.152266,-13.792809,-7.447789,12.433000
-11.112296,-14.593450,-7.575332,12.455000
-11.969744,-15.071405,-7.543254,12.478000
-12.681434,-14.686067,-8.090055,12.501000
-13.187793,-14.510750,-8.662636,12.522000
-13.344599,-14.260383,-9.091937,12.544000
-13.354100,-13.878281,-9.357796,12.567000
-13.207385,-13.200966,-9.553973,12.589000
-12.878115,-12.595059,-9.716368,12.611000
-12.660184,-12.137450,-9.816189,12.633000
-12.560269,-11.857317,-9.879730,12.656000
-12.579156,-11.622242,-9.904124,12.678000
-12.856089,-11.383937,-9.875385,12.701000
-13.174558,-11.477456,-10.051681,12.723000
-13.249767,-11.672069,-10.189475,12.744000
-13.319758,-11.675095,-10.184590,12.768000
-13.472604,-11.642179,-10.154167,12.788000
-13.938903,-11.811268,-10.234597,12.812000
-14.588284,-11.877583,-10.410205,12.833000
-15.255857,-11.854837,-10.549160,12.855000
-15.873879,-11.896263,-10.560835,12.878000
-16.481604,-11.906761,-10.633597,12.900000
-17.068808,-11.863990,-10.734842,12.923000
-17.581339,-11.751620,-10.737542,12.944000
-18.063808,-11.652001,-10.650533,12.966000
-18.564384,-11.491404,-10.434214,12.988000
-19.053619,-11.323196,-10.208018,13.011000
-19.770149,-11.056457,-10.043917,13.033000
-20.787954,-10.914205,-9.846184,13.056000
-21.749077,-10.782491,-9.653013,13.078000
-22.667809,-10.744092,-9.368604,13.101000
-23.525785,-10.675632,-9.050369,13.123000
-24.175934,-10.864255,-8.893289,13.144000
-24.823809,-11.088723,-8.835738,13.166000
-25.214565,-11.435649,-8.801376,13.189000
-25.258648,-11.726519,-8.930300,13.211000
-25.172779,-11.938385,-8.960150,13.234000
-25.142815,-12.305610,-8.961349,13.255000
-25.283724,-12.721336,-9.078361,13.278000
-25.597216,-13.068084,-9.256531,13.299000
-25.889168,-13.344297,-9.518048,13.320000
-26.118587,-13.519690,-9.516370,13.344000
-26.067884,-13.805506,-9.448184,13.365000
-26.155344,-13.818661,-9.307863,13.388000
-26.192389,-13.955080,-9.314371,13.409000
-26.372704,-14.343328,-9.502093,13.432000
-26.597973,-14.723121,-9.723105,13.454000
-26.721758,-14.907598,-9.880146,13.476000
-26.820545,-15.037125,-9.953272,13.498000
-26.916548,-15.364202,-9.929460,13.520000
-26.928488,-15.686020,-9.940276,13.544000
-26.829992,-15.611496,-10.022531,13.565000
-26.672581,-15.408729,-10.110230,13.588000
-26.477001,-15.157043,-10.248323,13.609000
-26.313736,-14.881642,-10.363974,13.631000
-26.171616,-14.571559,-10.498261,13.655000
-26.038099,-14.469414,-10.748149,13.677000
-25.949890,-14.548172,-10.987141,13.699000
-25.660164,-14.808369,-11.159566,13.721000
-25.183281,-14.957137,-11.297483,13.742000
-24.531040,-15.187014,-11.380091,13.767000
-23.912598,-15.568336,-11.391867,13.788000
-23.218180,-15.967690,-11.259089,13.810000
-22.700090,-16.325565,-11.076888,13.832000
-22.176142,-16.645649,-11.076706,13.855000
-21.733841,-16.986740,-11.183392,13.876000
-21.384851,-17.450703,-11.402691,13.898000
-21.146624,-17.713631,-11.600481,13.920000
-21.034803,-17.743185,-11.976675,13.943000
-20.846947,-18.000437,-12.435117,13.965000
